"","gene","cntA","cntB","med_pa_len_A","med_pa_len_B","iso_pa_pval","iso_pa_sig","iso_pa_diff"
"1406","EZH2",18,22,141,108.5,0.263694736842105,"False",32.5
"1407","EZR",7,13,74,132,0,"True",58
"1410","FABP5",13,13,83,103,0.366158844765343,"False",20
"1411","FABP5P7",29,22,58,69.5,0.429397222222222,"False",11.5
"1412","FADS1",14,19,69.5,82,0.423815028901734,"False",12.5
"1413","FADS2",44,73,139.5,115,0.335334947538337,"False",24.5
"1414","FAF1",11,5,119,159,0.153013816925734,"False",40
"1415","FAF2",7,6,47,81.5,0.139127134724858,"False",34.5
"1416","FAHD1",13,11,168,137,0.28576181292189,"False",31
"1419","FAM104B",8,10,57,93.5,0.148765217391304,"False",36.5
"1420","FAM107B",7,10,108,75.5,0.235863970588235,"False",32.5
"1421","FAM120AOS",8,8,61.5,53.5,0.454621909840039,"False",8
"1425","FAM127A",107,203,112,102,0.460244869402985,"False",10
"1426","FAM127B",8,17,102,148,0.119434156378601,"False",46
"1427","FAM127C",71,196,100,106,0.479239475774424,"False",6
"1429","FAM133B",15,38,104,96.5,0.468657142857143,"False",7.5
"1430","FAM136A",92,79,104,85,0.370964285714286,"False",19
"1433","FAM162A",43,28,117,100.5,0.4042,"False",16.5
"1434","FAM168B",5,15,175,113,0.0706358381502891,"False",62
"1440","FAM192A",18,45,78.5,75,0.490434782608696,"False",3.5
"1445","FAM200B",8,17,122.5,89,0.213431506849315,"False",33.5
"1446","FAM204A",6,15,98.5,67,0.227166666666667,"False",31.5
"1447","FAM206A",11,24,132,76.5,0.0545535714285715,"False",55.5
"1449","FAM213A",18,40,88,96.5,0.467461746174617,"False",8.5
"1453","FAM219B",6,7,255,179,0.0604950495049505,"False",76
"1456","FAM32A",29,132,92,116.5,0.300491803278688,"False",24.5
"1460","FAM49B",6,21,102,98,0.491204975863349,"False",4
"1462","FAM53C",6,20,108,121.5,0.4323897659227,"False",13.5
"1464","FAM64A",14,30,65,93,0.237281553398058,"False",28
"1469","FAM92A1",13,16,71,144,0,"True",73
"1470","FAM96A",38,49,63.5,70,0.475164835164835,"False",6.5
"1471","FAM96B",17,8,87,92.5,0.472017167381974,"False",5.5
"1473","FAM98C",31,38,146,120.5,0.333634881825591,"False",25.5
"1476","FANCI",9,16,126,121,0.4875,"False",5
"1478","FAR1",5,5,71,117,0.0889805825242719,"False",46
"1479","FARS2",5,5,100,93,0.476398514851485,"False",7
"1480","FARSA",18,16,79.5,72.5,0.471515477214101,"False",7
"1481","FARSB",51,33,87,101,0.416753512880562,"False",14
"1484","FASTKD2",15,7,95,75,0.36268390386016,"False",20
"1486","FAU",20,18,146,91.5,0.0393347639484979,"True",54.5
"1488","FBL",51,65,99,93,0.477460317460318,"False",6
"1489","FBN2",6,6,119,161,0.159436026936027,"False",42
"1491","FBRSL1",8,12,147.5,167,0.398058191018343,"False",19.5
"1493","FBXL5",25,31,116,82,0.222255291005291,"False",34
"1495","FBXO18",9,9,118,115,0.493792184724689,"False",3
"1497","FBXO22",51,30,76,50,0.276888217522659,"False",26
"1500","FBXO7",8,15,98,64,0.196654191616767,"False",34
"1505","FDFT1",248,210,100.5,97,0.491544550810015,"False",3.5
"1506","FDPS",100,152,126,78,0.0943349168646082,"False",48
"1510","FEN1",13,22,71,87.5,0.400873756218905,"False",16.5
"1514","FGFBP3",59,124,129,141.5,0.45021052631579,"False",12.5
"1518","FH",10,14,69,67.5,0.496910247592847,"False",1.5
"1521","FIBP",20,29,68,80,0.42546803652968,"False",12
"1523","FIS1",21,33,97,105,0.475476487723679,"False",8
"1524","FJX1",6,6,112.5,109.5,0.493568563092633,"False",3
"1528","FKBP1A",37,21,134,120,0.425511654349062,"False",14
"1529","FKBP2",27,44,63,76,0.400873756218905,"False",13
"1530","FKBP3",57,121,106,90,0.399558823529412,"False",16
"1531","FKBP4",68,40,93,109.5,0.398058191018343,"False",16.5
"1535","FLAD1",57,55,89,111,0.344494909945184,"False",22
"1538","FLOT1",24,46,152.5,135.5,0.400468164794007,"False",17
"1539","FLOT2",9,11,118,129,0.451753214638971,"False",11
"1541","FN1",5,12,100,151.5,0.0889805825242719,"False",51.5
"1547","FOPNL",8,10,103,84,0.365007241129616,"False",19
"1549","FOXM1",9,9,80,82,0.494350603264727,"False",2
"1550","FOXP4",5,11,101,180,0,"True",79
"1552","FOXRED1",11,11,152,139,0.454621909840039,"False",13
"1553","FRA10AC1",10,5,97,106,0.454524390243903,"False",9
"1555","FRG1",25,29,69,65,0.488984522461306,"False",4
"1557","FSCN1",33,48,145,134,0.460244869402985,"False",11
"1558","FSD1",6,7,151,96,0.0462878787878788,"True",55
"1561","FTH1",26,338,101.5,99,0.492958287596048,"False",2.5
"1562","FTL",8926,5371,83,84,0.496910247592847,"False",1
"1563","FTLP3",26,12,65.5,114.5,0.0604950495049505,"False",49
"1564","FTSJ1",6,7,133,58,0,"True",75
"1565","FTSJ2",10,22,105,77.5,0.264681628392484,"False",27.5
"1566","FTSJ3",16,9,117,140,0.333318293683347,"False",23
"1567","FUBP1",14,22,127.5,105,0.32903893951947,"False",22.5
"1568","FUBP3",7,14,48,81.5,0.123434343434344,"False",33.5
"1569","FUCA2",10,19,66.5,91,0.283977495107632,"False",24.5
"1570","FUNDC1",19,40,123,147,0.3473753894081,"False",24
"1571","FUNDC2",35,40,72,84,0.440593849416755,"False",12
"1573","FUS",8,25,129.5,160,0.282420477137177,"False",30.5
"1575","FXR1",8,14,112.5,60.5,0.0604950495049505,"False",52
"1577","FYN",7,16,106,112.5,0.475476487723679,"False",6.5
"1578","FZD10",29,60,110,121.5,0.451582341269841,"False",11.5
"1579","FZD3",6,14,104,118.5,0.429397222222222,"False",14.5
"1581","G3BP1",19,33,121,110,0.451753214638971,"False",11
"1583","G6PC3",20,6,111.5,93,0.396238651102464,"False",18.5
"1585","GABARAPL2",18,41,131,105,0.31035777385159,"False",26
"1589","GADD45A",5,6,90,96.5,0.475476487723679,"False",6.5
"1593","GALNT10",7,5,145,131,0.4323897659227,"False",14
"1597","GAMT",10,21,112,93,0.382134602311353,"False",19
"1599","GAP43",69,62,89,80,0.460244869402985,"False",9
"1600","GAPDH",2234,1976,74,69,0.478686219365207,"False",5
"1603","GARS",19,16,104,112.5,0.460244869402985,"False",8.5
"1604","GART",14,20,80,137,0.0706358381502891,"False",57
"1605","GAS5",121,180,148,110.5,0.181674491392801,"False",37.5
"1606","GATB",5,13,74,70,0.484286263947672,"False",4
"1608","GBAS",5,6,75,81,0.475476487723679,"False",6
"1610","GCA",5,13,69,125,0.0462878787878788,"True",56
"1612","GCDH",9,10,119,67,0.0462878787878788,"True",52
"1616","GCN1",7,6,114,151.5,0.201281112737921,"False",37.5
"1619","GDE1",8,13,70.5,67,0.490350877192982,"False",3.5
"1620","GDI1",19,37,160,160,0.503380681818182,"False",0
"1621","GDI2",41,121,101,78,0.335334947538337,"False",23
"1622","GEMIN6",16,10,67.5,74.5,0.468657142857143,"False",7
"1623","GEMIN7",6,12,130,119,0.451582341269841,"False",11
"1624","GEMIN8",6,15,111,109,0.49630350877193,"False",2
"1625","GFER",5,9,282,187,0,"True",95
"1629","GGCX",9,10,72,150.5,0,"True",78.5
